algorithm,n_rounds,opponent_type,reward_sum,agent_final_reward
SMAlegAATr,50.csv,greedyneg,100.0,-150.0
SMAlegAATr,50.csv,greedyneg,100.0,-150.0
SMAlegAATr,50.csv,greedyneg,100.0,-150.0
SMAlegAATr,50.csv,greedyneg,100.0,-150.0
DQN,40.csv,bullied,80.0,200.0
DQN,40.csv,bullied,80.0,200.0
DQN,40.csv,bullied,80.0,200.0
DQN,40.csv,bullied,80.0,200.0
DQN,40.csv,bullied,80.0,200.0
RawO,10.csv,cooppunish,20.0,18.0
RawO,10.csv,cooppunish,20.0,18.0
RawO,10.csv,cooppunish,20.0,18.0
RawO,10.csv,cooppunish,20.0,18.0
RawO,10.csv,cooppunish,20.0,18.0
RDQN,30.csv,selfplay,-60.0,-30.0
RDQN,30.csv,selfplay,-60.0,-30.0
RDQN,30.csv,selfplay,-60.0,-30.0
RDQN,30.csv,selfplay,-60.0,-30.0
RDQN,30.csv,selfplay,-60.0,-30.0
RawO,10.csv,bullypunish,-20.0,-10.0
RawO,10.csv,bullypunish,-20.0,-10.0
RawO,10.csv,bullypunish,-20.0,-10.0
RawO,10.csv,bullypunish,-20.0,-10.0
RawO,10.csv,bullypunish,-20.0,-10.0
AleqgAATr,40.csv,bullied,164.0,158.0
AleqgAATr,40.csv,bullied,164.0,158.0
AleqgAATr,40.csv,bullied,164.0,158.0
AleqgAATr,40.csv,bullied,164.0,158.0
AleqgAATr,40.csv,bullied,164.0,158.0
RDQN,20.csv,selfplay,-40.0,-20.0
RDQN,20.csv,selfplay,-40.0,-20.0
RDQN,20.csv,selfplay,-40.0,-20.0
